Jahrgang,Geschlecht,Alter,qx
1953,Mann,4,0.001097
1953,Mann,5,0.000766
1953,Mann,6,0.000527
1953,Mann,7,0.000694
1953,Mann,8,0.000517
1953,Mann,9,0.000626
1953,Mann,10,0.000412
1953,Mann,11,0.000502
1953,Mann,12,0.000479
1953,Mann,13,0.000364
1953,Mann,14,0.000407
1953,Mann,15,0.000562
1953,Mann,16,0.000941
1953,Mann,17,0.000851
1953,Mann,18,0.001435
1953,Mann,19,0.002103
1953,Mann,20,0.001614
1953,Mann,21,0.002274
1953,Mann,22,0.001792
1953,Mann,23,0.001702
1953,Mann,24,0.001564
1953,Mann,25,0.00133
1953,Mann,26,0.001142
1953,Mann,27,0.001548
1953,Mann,28,0.001259
1953,Mann,29,0.001195
1953,Mann,30,0.001139
1953,Mann,31,0.001128
1953,Mann,32,0.001074
1953,Mann,33,0.001124
1953,Mann,34,0.001417
1953,Mann,35,0.001663
1953,Mann,36,0.001844
1953,Mann,37,0.001512
1953,Mann,38,0.001759
1953,Mann,39,0.002053
1953,Mann,40,0.002045
1953,Mann,41,0.002299
1953,Mann,42,0.002384
1953,Mann,43,0.002044
1953,Mann,44,0.002293
1953,Mann,45,0.002147
1953,Mann,46,0.002374
1953,Mann,47,0.002885
1953,Mann,48,0.002789
1953,Mann,49,0.003234
1953,Mann,50,0.003305
1953,Mann,51,0.003703
1953,Mann,52,0.003494
1953,Mann,53,0.003998
1953,Mann,54,0.004098
1953,Mann,55,0.004269
1953,Mann,56,0.005023
1953,Mann,57,0.005456
1953,Mann,58,0.005679
1953,Mann,59,0.006269
1953,Mann,60,0.006802
1953,Mann,61,0.007072
1953,Mann,62,0.008153
1953,Mann,63,0.008749
1953,Mann,64,0.009255
1953,Mann,65,0.009454
1953,Mann,66,0.010321
1953,Mann,67,0.012147
1953,Mann,68,0.013228
1953,Mann,69,0.013178
1953,Mann,70,0.013951
1953,Mann,71,0.014975
1953,Mann,72,0.01616
1953,Mann,73,0.017511
1953,Mann,74,0.019057
1953,Mann,75,0.020819
1953,Mann,76,0.022824
1953,Mann,77,0.025131
1953,Mann,78,0.027827
1953,Mann,79,0.030976
1953,Mann,80,0.034613
1953,Mann,81,0.038903
1953,Mann,82,0.043982
1953,Mann,83,0.049982
1953,Mann,84,0.056992
1953,Mann,85,0.06504
1953,Mann,86,0.07418
1953,Mann,87,0.084583
1953,Mann,88,0.096473
1953,Mann,89,0.110117
1953,Mann,90,0.125655
1953,Mann,91,0.143147
1953,Mann,92,0.162446
1953,Mann,93,0.183373
1953,Mann,94,0.205776
1953,Mann,95,0.229373
1953,Mann,96,0.254006
1953,Mann,97,0.280193
1953,Mann,98,0.308718
1953,Mann,99,0.34051
1953,Mann,100,0.375721
1953,Mann,101,0.41404
1953,Mann,102,0.454226
1953,Mann,103,0.496481
1953,Mann,104,0.546983
1953,Mann,105,0.610236
1953,Mann,106,0.648831
1953,Mann,107,0.688505
1953,Mann,108,0.72883
1953,Mann,109,0.769212
1953,Mann,110,0.808887
1953,Mann,111,0.846931
1953,Mann,112,0.882307
1953,Mann,113,0.913949
1953,Mann,114,0.940908
1953,Mann,115,0.962509
1953,Mann,116,0.978525
1953,Mann,117,0.989278
1953,Mann,118,0.995621
1953,Mann,119,0.998759
1953,Mann,120,1.0
1954,Frau,0,0.024083
1954,Frau,1,0.002533
1954,Frau,2,0.000904
1954,Frau,3,0.000883
1954,Frau,4,0.000616
1954,Frau,5,0.000467
1954,Frau,6,0.000369
1954,Frau,7,0.000291
1954,Frau,8,0.000358
1954,Frau,9,0.000331
1954,Frau,10,0.000165
1954,Frau,11,0.000141
1954,Frau,12,0.000188
1954,Frau,13,0.000281
1954,Frau,14,0.000373
1954,Frau,15,0.000302
1954,Frau,16,0.000321
1954,Frau,17,0.000407
1954,Frau,18,0.000397
1954,Frau,19,0.000605
1954,Frau,20,0.000623
1954,Frau,21,0.000563
